6.575,15.3,4.98,24
6.421,17.8,9.14,21.6
7.185,17.8,4.03,34.7
6.998,18.7,2.94,33.4
7.147,18.7,5.33,36.2
6.43,18.7,5.21,28.7
6.012,15.2,12.43,22.9
6.172,15.2,19.15,27.1
5.631,15.2,29.93,16.5
6.004,15.2,17.1,18.9
6.377,15.2,20.45,15
6.009,15.2,13.27,18.9
5.889,15.2,15.71,21.7
5.949,21,8.26,20.4
6.096,21,10.26,18.2
5.834,21,8.47,19.9
5.935,21,6.58,23.1
5.99,21,14.67,17.5
5.456,21,11.69,20.2
5.727,21,11.28,18.2
5.57,21,21.02,13.6
5.965,21,13.83,19.6
6.142,21,18.72,15.2
5.813,21,19.88,14.5
5.924,21,16.3,15.6
5.599,21,16.51,13.9
5.813,21,14.81,16.6
6.047,21,17.28,14.8
6.495,21,12.8,18.4
6.674,21,11.98,21
5.713,21,22.6,12.7
6.072,21,13.04,14.5
5.95,21,27.71,13.2
5.701,21,18.35,13.1
6.096,21,20.34,13.5
5.933,19.2,9.68,18.9
5.841,19.2,11.41,20
5.85,19.2,8.77,21
5.966,19.2,10.13,24.7
5.741,19.7,13.15,18.7
5.966,19.7,14.44,16
6.456,19.7,6.73,22.2
6.762,19.7,9.5,25
7.104,18.6,8.05,33
6.29,16.1,4.67,23.5
5.787,16.1,10.24,19.4
5.878,18.9,8.1,22
5.594,18.9,13.09,17.4
5.885,18.9,8.79,20.9
6.417,19.2,6.72,24.2
5.961,19.2,9.88,21.7
6.065,19.2,5.52,22.8
6.245,19.2,7.54,23.4
6.273,18.7,6.78,24.1
6.286,18.7,8.94,21.4
6.279,18.7,11.97,20
6.14,18.7,10.27,20.8
6.232,18.7,12.34,21.2
5.874,18.7,9.1,20.3
6.727,19,5.29,28
6.619,19,7.22,23.9
6.302,19,6.72,24.8
6.167,19,7.51,22.9
6.389,18.5,9.62,23.9
6.63,18.5,6.53,26.6
6.015,18.5,12.86,22.5
6.121,18.5,8.44,22.2
7.007,17.8,5.5,23.6
7.079,17.8,5.7,28.7
6.417,17.8,8.81,22.6
6.405,17.8,8.2,22
6.442,18.2,8.16,22.9
6.211,18.2,6.21,25
6.249,18.2,10.59,20.6
6.625,18,6.65,28.4
6.163,18,11.34,21.4
8.069,18,4.21,38.7
7.82,18,3.57,43.8
7.416,18,6.19,33.2
6.727,20.9,9.42,27.5
6.781,20.9,7.67,26.5
6.405,20.9,10.63,18.6
6.137,20.9,13.44,19.3
6.167,20.9,12.33,20.1
5.851,20.9,16.47,19.5
5.836,20.9,18.66,19.5
6.127,20.9,14.09,20.4
6.474,20.9,12.27,19.8
6.229,20.9,15.55,19.4
6.195,20.9,13,21.7
6.715,17.8,10.16,22.8
5.913,17.8,16.21,18.8
6.092,17.8,17.09,18.7
6.254,17.8,10.45,18.5
5.928,17.8,15.76,18.3
6.176,17.8,12.04,21.2
6.021,17.8,10.3,19.2
5.872,17.8,15.37,20.4
5.731,17.8,13.61,19.3
